Rank,Driver,ESG Pillar,Avg Rank,Combined Stability,Current Regime,Status
1,Driver 12,Social,2.82,0.606,stable,Stable
2,Driver 24,Governance,3.18,0.583,stable,Stable
3,Driver 10,Social,3.12,0.550,stable,Stable
4,Driver 8,Social,3.94,0.511,stable,Stable
5,Driver 15,Social,4.35,0.502,stable,Stable
6,Driver 19,Governance,3.59,0.479,stable,Stable
