rank,driver_number,pillar,mi_score,auc_score,rf_importance,composite_score
1,14,Social,0.10510817340773904,0.5861289141563243,0.13342674595393983,0.6895966856172432
2,9,Social,0.09970242994189582,0.5735686351120767,0.12857643621814566,0.6480325473072855
3,27,Governance,0.04920278961058281,0.5361665636041829,0.11777801414378203,0.31969725565883506
4,1,Environmental,0.03826528844285463,0.5582926598853696,0.10031710518429997,0.2712546570370447
5,21,Governance,0.03249728609736158,0.5239924954762447,0.09926068871726335,0.21123152103476092
6,18,Social,0.0026347636049839362,0.5182262405559968,0.09689612921014083,0.0293366566351735
