rank,driver_number,pillar,mi_score,auc_score,rf_importance,composite_score
1,8,Social,0.0,0.548061835977753,0.159985846827991,0.036046376983314775
2,18,Social,0.07370516347672022,0.5300871511864974,0.14566142089685802,0.5696096104922526
3,22,Governance,0.08420841169056097,0.5704614023899438,0.112720165306275,0.6778460517924578
4,6,Environmental,0.02615381802369428,0.538657544161815,0.09690396535491727,0.22310840072771462
5,10,Social,0.026138234912649178,0.5318631248648374,0.09632025243670307,0.21789692744836509
6,7,Social,0.010697765614731422,0.5750836016328223,0.09252606968326745,0.1357121742104799
