window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score,correlation,binary_auc_score,three_class_f1_score
12,2022-10-03,2023-09-25,3,Environmental,2,0.1841826610007551,0.010709479233948382,0.18947585308186082,0.6178571428571429,0.24847918965566024
12,2022-10-03,2023-09-25,15,Social,3,0.17936351764100245,0.0,0.18495589168205787,0.6142857142857143,0.28243216478510597
12,2022-10-03,2023-09-25,13,Social,4,0.14856603731738,0.0,0.07761124234397744,0.5482142857142858,0.3014458308575956
12,2022-10-03,2023-09-25,24,Governance,5,0.08700609419554693,0.0,0.007302089326438109,0.5035714285714286,0.21213818860877687
12,2022-10-03,2023-09-25,1,Environmental,6,0.08386274106490846,0.0,0.03979738734419522,0.5241071428571429,0.17454825067281815
13,2023-01-02,2023-12-25,15,Social,1,0.5100580205095421,0.03757020425530033,0.3352130704271447,0.7083333333333334,0.22282675080379527
13,2023-01-02,2023-12-25,12,Social,2,0.4071968860826318,0.03742803333139588,0.0733050133633111,0.5277777777777778,0.2269449715370019
13,2023-01-02,2023-12-25,1,Environmental,3,0.3747809370032969,0.0347870961407406,0.02865169942111488,0.5175925925925926,0.21693829046770222
13,2023-01-02,2023-12-25,13,Social,4,0.1989850890182568,0.0,0.1040823283468316,0.5657407407407407,0.40227650557636213
13,2023-01-02,2023-12-25,3,Environmental,5,0.15501239750056717,0.0,0.14909986328219496,0.5944444444444444,0.250837955285588
13,2023-01-02,2023-12-25,24,Governance,6,0.09517748179716116,0.0,0.01916658979547137,0.5101851851851852,0.22281639928698752
14,2023-04-03,2024-03-25,15,Social,1,0.46200577651436026,0.17348980892604282,0.24328117463946916,0.6379032258064516,0.2022252621979024
14,2023-04-03,2024-03-25,24,Governance,2,0.3232904772643092,0.10272215267987628,0.10543615300335556,0.5532258064516129,0.28444444444444444
14,2023-04-03,2024-03-25,1,Environmental,3,0.251746967065237,0.06760621453625637,0.10506811775825,0.560483870967742,0.2483660130718954
14,2023-04-03,2024-03-25,12,Social,4,0.20500600768589983,0.05748120478003216,0.14338840445042125,0.5395161290322581,0.19670388091440721
14,2023-04-03,2024-03-25,3,Environmental,5,0.16251621856207019,0.0,0.05729640836833205,0.5338709677419355,0.35678978568171454
14,2023-04-03,2024-03-25,13,Social,6,0.1464186169149157,0.0,0.028730221886857803,0.5169354838709678,0.34128590971272227
15,2023-07-03,2024-06-24,15,Social,1,0.4691438631169018,0.05649101049398997,0.27049643458137895,0.6574074074074074,0.2886106756868245
15,2023-07-03,2024-06-24,3,Environmental,2,0.42754866136903436,0.06481521384414468,0.019512313566832116,0.5117845117845118,0.30170197449609215
15,2023-07-03,2024-06-24,12,Social,3,0.2357243626447425,0.02917347710971052,0.08153736459644116,0.5294612794612795,0.20471540843057873
15,2023-07-03,2024-06-24,1,Environmental,4,0.17669753648003436,0.0012340125899328314,0.09592627487603878,0.5555555555555556,0.3460294117647059
15,2023-07-03,2024-06-24,13,Social,5,0.1742394311113599,0.0,0.09503893835986758,0.5572390572390572,0.3521698889345948
