window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score
1,2020-01-06,2020-12-28,8,Social,1,0.4309443119825773,0.10267141163705751
1,2020-01-06,2020-12-28,24,Governance,2,0.19591611852555318,0.0
1,2020-01-06,2020-12-28,12,Social,3,0.18264062982166374,0.0
1,2020-01-06,2020-12-28,15,Social,4,0.13295949121739797,0.0
1,2020-01-06,2020-12-28,10,Social,5,0.11437081912015737,0.0
1,2020-01-06,2020-12-28,19,Governance,6,0.0724829722509825,0.0
2,2020-04-06,2021-03-29,24,Governance,1,0.5380017420257199,0.14811825386044286
2,2020-04-06,2021-03-29,10,Social,2,0.3483946663966525,0.1501076255206395
2,2020-04-06,2021-03-29,12,Social,3,0.1556563309275547,0.0
2,2020-04-06,2021-03-29,8,Social,4,0.15300246713745397,0.0363840909493538
2,2020-04-06,2021-03-29,15,Social,5,0.11930558584215437,0.0
2,2020-04-06,2021-03-29,19,Governance,6,0.06684121277003958,0.0
3,2020-07-06,2021-06-28,19,Governance,1,0.4012939902782215,0.09833590113691337
3,2020-07-06,2021-06-28,10,Social,2,0.2827761022134923,0.04375683802798358
3,2020-07-06,2021-06-28,12,Social,3,0.1628406844986966,0.008788048647429214
3,2020-07-06,2021-06-28,24,Governance,4,0.145409366685625,0.0
3,2020-07-06,2021-06-28,15,Social,5,0.11518925220131832,0.008202419460452415
3,2020-07-06,2021-06-28,8,Social,6,0.05479568850505493,0.0
4,2020-10-05,2021-09-27,12,Social,1,0.4138057455540356,0.04076679974382724
4,2020-10-05,2021-09-27,19,Governance,2,0.30029366581378064,0.0311273378984831
4,2020-10-05,2021-09-27,24,Governance,3,0.18922127246163048,0.0
4,2020-10-05,2021-09-27,10,Social,4,0.12524845317609049,0.0
4,2020-10-05,2021-09-27,8,Social,5,0.11810179619025057,0.0
4,2020-10-05,2021-09-27,15,Social,6,0.0736150160379343,0.0
5,2021-01-04,2021-12-27,12,Social,1,0.47591650604754987,0.12850184482043203
5,2021-01-04,2021-12-27,8,Social,2,0.3466210706076841,0.11461997303471749
5,2021-01-04,2021-12-27,24,Governance,3,0.19874599218114375,0.0
5,2021-01-04,2021-12-27,15,Social,4,0.17896759181579808,0.007205212029990804
5,2021-01-04,2021-12-27,10,Social,5,0.12801225806615413,0.0
5,2021-01-04,2021-12-27,19,Governance,6,0.044951712028094816,0.0
6,2021-04-05,2022-03-28,15,Social,1,0.4109716988320734,0.17304895114362595
6,2021-04-05,2022-03-28,19,Governance,2,0.23076812837176558,0.0642694248900515
6,2021-04-05,2022-03-28,12,Social,3,0.2230420547743987,0.024163316401589974
6,2021-04-05,2022-03-28,10,Social,4,0.20269832105758184,0.030207556549363357
6,2021-04-05,2022-03-28,24,Governance,5,0.17687998938468974,0.0
6,2021-04-05,2022-03-28,8,Social,6,0.1460557273536949,0.017775695308086537
7,2021-07-05,2022-06-27,19,Governance,1,0.45438476753962176,0.1248371564125268
7,2021-07-05,2022-06-27,12,Social,2,0.3935646802994142,0.0931580007509456
7,2021-07-05,2022-06-27,8,Social,3,0.36661461370543075,0.09139950559871513
7,2021-07-05,2022-06-27,10,Social,4,0.36241805708493385,0.07298923543557634
7,2021-07-05,2022-06-27,24,Governance,5,0.19767002286977592,0.0
7,2021-07-05,2022-06-27,15,Social,6,0.11536075465358724,0.0
8,2021-10-04,2022-09-26,10,Social,1,0.4509509334551282,0.04652285409303447
8,2021-10-04,2022-09-26,12,Social,2,0.32723153847832387,0.02003746980169474
8,2021-10-04,2022-09-26,19,Governance,3,0.3155992268946311,0.03183967371114127
8,2021-10-04,2022-09-26,24,Governance,4,0.1657903966147787,0.0
8,2021-10-04,2022-09-26,8,Social,5,0.12387938048239129,0.002092960767220653
8,2021-10-04,2022-09-26,15,Social,6,0.12179599786180223,0.0
9,2022-01-03,2022-12-26,10,Social,1,0.44234687431249137,0.13017838701327356
9,2022-01-03,2022-12-26,19,Governance,2,0.18414527873762193,0.0
9,2022-01-03,2022-12-26,24,Governance,3,0.17343661484510012,0.004429909989983383
9,2022-01-03,2022-12-26,12,Social,4,0.16930498663562418,0.0
9,2022-01-03,2022-12-26,8,Social,5,0.14330569765392615,0.0
9,2022-01-03,2022-12-26,15,Social,6,0.12695632160233278,0.0
10,2022-04-04,2023-03-27,10,Social,1,0.4136356735930451,0.09375779234053883
10,2022-04-04,2023-03-27,12,Social,2,0.2982609006104936,0.04806772322122188
10,2022-04-04,2023-03-27,19,Governance,3,0.17746856043052062,0.01136591142152188
10,2022-04-04,2023-03-27,24,Governance,4,0.13438386392518165,0.0
10,2022-04-04,2023-03-27,8,Social,5,0.1081425354507886,0.0014494006809355753
10,2022-04-04,2023-03-27,15,Social,6,0.09564486886013725,0.0
11,2022-07-04,2023-06-26,8,Social,1,0.4625482323918333,0.16149919915269773
11,2022-07-04,2023-06-26,10,Social,2,0.4561495439769045,0.1646960335983938
11,2022-07-04,2023-06-26,19,Governance,3,0.30139950447102837,0.08319254969552903
11,2022-07-04,2023-06-26,12,Social,4,0.15249016535531784,0.0
11,2022-07-04,2023-06-26,15,Social,5,0.12828140321118212,0.0
11,2022-07-04,2023-06-26,24,Governance,6,0.10669422470727953,0.0
12,2022-10-03,2023-09-25,19,Governance,1,0.45680075697998834,0.13623660771363544
12,2022-10-03,2023-09-25,10,Social,2,0.31461016989161084,0.10094082250435532
12,2022-10-03,2023-09-25,24,Governance,3,0.17388048994585426,0.03523624161811334
12,2022-10-03,2023-09-25,12,Social,4,0.1450483454655243,0.0
12,2022-10-03,2023-09-25,8,Social,5,0.12907233412633637,0.0
12,2022-10-03,2023-09-25,15,Social,6,0.0803663005845838,0.0
13,2023-01-02,2023-12-25,8,Social,1,0.42970298260805967,0.052589777904904045
13,2023-01-02,2023-12-25,24,Governance,2,0.30430999410256215,0.03791151553041128
13,2023-01-02,2023-12-25,15,Social,3,0.123264696043065,0.0
13,2023-01-02,2023-12-25,12,Social,4,0.09371034410044601,0.0
13,2023-01-02,2023-12-25,10,Social,5,0.09136410461961947,0.0
13,2023-01-02,2023-12-25,19,Governance,6,0.06316908142428773,0.0
14,2023-04-03,2024-03-25,15,Social,1,0.42985010642067417,0.09118289812705394
