window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score
12,2022-10-03,2023-09-25,10,Social,6,0.09937818599608098,0.0
13,2023-01-02,2023-12-25,18,Social,1,0.48434084057976046,0.010928622835444823
13,2023-01-02,2023-12-25,10,Social,2,0.376325093648827,0.010291229562374937
13,2023-01-02,2023-12-25,7,Social,3,0.1541552662039513,0.0
13,2023-01-02,2023-12-25,8,Social,4,0.12924334015456757,0.0
13,2023-01-02,2023-12-25,6,Environmental,5,0.1268241953429657,0.0
13,2023-01-02,2023-12-25,22,Governance,6,0.10307856875235527,0.0
14,2023-04-03,2024-03-25,6,Environmental,1,0.4557436508017736,0.013686847565987925
14,2023-04-03,2024-03-25,10,Social,2,0.17071748964483288,0.0
14,2023-04-03,2024-03-25,18,Social,3,0.13885170569593505,0.0
14,2023-04-03,2024-03-25,22,Governance,4,0.1338132345471969,0.0
14,2023-04-03,2024-03-25,7,Social,5,0.11302506297451063,0.0
14,2023-04-03,2024-03-25,8,Social,6,0.08375341291822237,0.0
15,2023-07-03,2024-06-24,22,Governance,1,0.40754404858460247,0.08991350879538063
15,2023-07-03,2024-06-24,10,Social,2,0.13956280402496749,0.0
15,2023-07-03,2024-06-24,6,Environmental,3,0.13667482404543202,0.0
15,2023-07-03,2024-06-24,7,Social,4,0.1365540064040512,0.0
15,2023-07-03,2024-06-24,18,Social,5,0.12239851380961643,0.0
15,2023-07-03,2024-06-24,8,Social,6,0.09492780321340744,0.0
16,2023-10-02,2024-09-23,10,Social,1,0.4456647240210255,0.07001814560416997
16,2023-10-02,2024-09-23,8,Social,2,0.33055778462817687,0.054266437681181445
16,2023-10-02,2024-09-23,6,Environmental,3,0.21534241223064782,0.0
16,2023-10-02,2024-09-23,18,Social,4,0.15274817572163824,0.0
16,2023-10-02,2024-09-23,7,Social,5,0.1481386365334822,0.0
16,2023-10-02,2024-09-23,22,Governance,6,0.12205903132789875,0.003399276519902905
17,2024-01-01,2024-12-23,7,Social,1,0.4448550324886296,0.0277699546421748
17,2024-01-01,2024-12-23,6,Environmental,2,0.211325562192406,0.0
17,2024-01-01,2024-12-23,22,Governance,3,0.13266840395470086,0.0
17,2024-01-01,2024-12-23,10,Social,4,0.11976094487637479,0.0
17,2024-01-01,2024-12-23,8,Social,5,0.11882228419231126,0.0031840173832269336
17,2024-01-01,2024-12-23,18,Social,6,0.1171554416905563,0.0
