window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score
1,2020-01-06,2020-12-28,1,Environmental,1,0.6545311224475945,0.15841359771069508
1,2020-01-06,2020-12-28,15,Social,2,0.37285379930354895,0.09211068214079754
1,2020-01-06,2020-12-28,12,Social,3,0.25286982231023547,0.049134926655935995
1,2020-01-06,2020-12-28,24,Governance,4,0.14261949282099767,0.0
1,2020-01-06,2020-12-28,13,Social,5,0.09986690080863563,0.0
1,2020-01-06,2020-12-28,3,Environmental,6,0.0982141521436864,0.0
2,2020-04-06,2021-03-29,1,Environmental,1,0.5764538546781606,0.10103002268006023
2,2020-04-06,2021-03-29,3,Environmental,2,0.30470380352577675,0.06058147340798148
2,2020-04-06,2021-03-29,12,Social,3,0.2613183751308144,0.05780595574218861
2,2020-04-06,2021-03-29,24,Governance,4,0.18532334838781794,0.02994568762513694
2,2020-04-06,2021-03-29,13,Social,5,0.10623910431396155,0.0
2,2020-04-06,2021-03-29,15,Social,6,0.08940346806253394,0.0
3,2020-07-06,2021-06-28,13,Social,1,0.4953751152512259,0.16797691821692173
3,2020-07-06,2021-06-28,3,Environmental,2,0.3493580418425953,0.058205616533855364
3,2020-07-06,2021-06-28,12,Social,3,0.29059147118731743,0.0770814110584388
3,2020-07-06,2021-06-28,15,Social,4,0.1260255557928717,0.0
3,2020-07-06,2021-06-28,24,Governance,5,0.11701946811160036,0.0
3,2020-07-06,2021-06-28,1,Environmental,6,0.1005411826303031,0.0
4,2020-10-05,2021-09-27,15,Social,1,0.4540387042861809,0.09303985870965659
4,2020-10-05,2021-09-27,13,Social,2,0.4229532095220296,0.07706934283702815
4,2020-10-05,2021-09-27,1,Environmental,3,0.1986210960219241,0.0
4,2020-10-05,2021-09-27,3,Environmental,4,0.14271942530949927,0.0
4,2020-10-05,2021-09-27,24,Governance,5,0.0899260063827738,0.007374775261837829
4,2020-10-05,2021-09-27,12,Social,6,0.07016507707449864,0.0
5,2021-01-04,2021-12-27,13,Social,1,0.4513424555500899,0.22910029643859442
5,2021-01-04,2021-12-27,3,Environmental,2,0.4506856470339744,0.2813609390403884
5,2021-01-04,2021-12-27,15,Social,3,0.27990888600170993,0.13639781595169587
