window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score
1,2020-01-06,2020-12-28,9,Social,1,0.45097441405530003,0.14858537730607657
1,2020-01-06,2020-12-28,14,Social,2,0.28541429711848043,0.0652211220560086
1,2020-01-06,2020-12-28,27,Governance,3,0.22990934038672312,0.039600165195295745
1,2020-01-06,2020-12-28,18,Social,4,0.1632753667833159,0.012539187496911186
1,2020-01-06,2020-12-28,21,Governance,5,0.11855135954631828,0.0
1,2020-01-06,2020-12-28,1,Environmental,6,0.11442537049901089,0.0
2,2020-04-06,2021-03-29,14,Social,1,0.45238504163907345,0.10298720781198645
2,2020-04-06,2021-03-29,1,Environmental,2,0.39156528616679104,0.0797908359128956
2,2020-04-06,2021-03-29,9,Social,3,0.3484749996261854,0.08763556683204476
2,2020-04-06,2021-03-29,21,Governance,4,0.14975170368369872,0.02727603733438011
2,2020-04-06,2021-03-29,27,Governance,5,0.14273235389671246,0.0012826727597001764
2,2020-04-06,2021-03-29,18,Social,6,0.10358668383808874,0.0
3,2020-07-06,2021-06-28,9,Social,1,0.3833988319559728,0.13193507335154764
3,2020-07-06,2021-06-28,14,Social,2,0.23692538938058239,0.025191944636100416
3,2020-07-06,2021-06-28,27,Governance,3,0.20111324193407623,0.0015988518388549977
3,2020-07-06,2021-06-28,21,Governance,4,0.13677781085612634,0.0
3,2020-07-06,2021-06-28,1,Environmental,5,0.12419345006498526,0.006212758474251956
3,2020-07-06,2021-06-28,18,Social,6,0.08757169837263627,0.0
4,2020-10-05,2021-09-27,14,Social,1,0.48794669666102974,0.1838604819811085
4,2020-10-05,2021-09-27,18,Social,2,0.2556886623553317,0.06943344503995741
4,2020-10-05,2021-09-27,21,Governance,3,0.2197060878800735,0.06876895586017073
4,2020-10-05,2021-09-27,27,Governance,4,0.21019962285204702,0.0
4,2020-10-05,2021-09-27,1,Environmental,5,0.1217895970850023,0.0
4,2020-10-05,2021-09-27,9,Social,6,0.11279813045287583,0.03140991767933299
5,2021-01-04,2021-12-27,18,Social,1,0.4627874701297588,0.09051736428648227
5,2021-01-04,2021-12-27,14,Social,2,0.3492137768656054,0.0460625481282666
5,2021-01-04,2021-12-27,21,Governance,3,0.32630932745228614,0.04718708713297315
5,2021-01-04,2021-12-27,9,Social,4,0.17371827061065703,0.019783321038622237
5,2021-01-04,2021-12-27,1,Environmental,5,0.17330303849030532,0.004190133106606986
5,2021-01-04,2021-12-27,27,Governance,6,0.12639779028363324,0.0
6,2021-04-05,2022-03-28,1,Environmental,1,0.42766287164939676,0.08171250528812579
6,2021-04-05,2022-03-28,18,Social,2,0.34587151883846057,0.04061767421453477
6,2021-04-05,2022-03-28,14,Social,3,0.33252647063486,0.014597372167552969
6,2021-04-05,2022-03-28,21,Governance,4,0.14852773175011424,0.0
6,2021-04-05,2022-03-28,27,Governance,5,0.11621225166731863,0.0
6,2021-04-05,2022-03-28,9,Social,6,0.07047357287204362,0.0
7,2021-07-05,2022-06-27,9,Social,1,0.39454687885832124,0.08602630603274553
7,2021-07-05,2022-06-27,14,Social,2,0.3569466035450374,0.029794457975637734
7,2021-07-05,2022-06-27,21,Governance,3,0.3316871784279825,0.07246312949379052
7,2021-07-05,2022-06-27,18,Social,4,0.28379891714361366,0.02468348218992178
7,2021-07-05,2022-06-27,1,Environmental,5,0.2628366302244442,0.046755174114554876
7,2021-07-05,2022-06-27,27,Governance,6,0.1252672626547686,0.0
8,2021-10-04,2022-09-26,14,Social,1,0.5439074285245624,0.13529928947696157
8,2021-10-04,2022-09-26,18,Social,2,0.18666981172566743,0.0
8,2021-10-04,2022-09-26,27,Governance,3,0.14912896339869522,0.0
8,2021-10-04,2022-09-26,21,Governance,4,0.12358823789911853,0.005027466652008261
8,2021-10-04,2022-09-26,1,Environmental,5,0.10729061535393158,0.0
8,2021-10-04,2022-09-26,9,Social,6,0.07898004209752897,0.0
9,2022-01-03,2022-12-26,27,Governance,1,0.3942315797914503,0.0436147335606194
9,2022-01-03,2022-12-26,21,Governance,2,0.19138030739367096,0.0
9,2022-01-03,2022-12-26,18,Social,3,0.17800306404059135,0.0
9,2022-01-03,2022-12-26,14,Social,4,0.1734054761603302,0.0
9,2022-01-03,2022-12-26,1,Environmental,5,0.13416234449546494,0.0
