rank,driver_number,pillar,mi_score,auc_score,rf_importance,composite_score
1,3,Environmental,0.07476228450282003,0.5750593482792623,0.20157840243056135,0.6763113917725374
2,13,Social,0.016265223842873766,0.5640908580940752,0.15852028082751224,0.18295852868631093
3,1,Environmental,0.03271072786777052,0.6038241710954407,0.1226312495604565,0.34914399406586805
4,12,Social,0.02353624042955471,0.5664888561683363,0.10563626505015324,0.2450568569298805
5,15,Social,0.020009075943320687,0.5339520305683018,0.08872719700335503,0.19140283728735946
6,24,Governance,0.018527423771981466,0.5362786324161914,0.06937258002430148,0.1808601845228361
