regime_id,pillar,window_start,window_end,duration_windows,period_start,period_end
1,Governance,0,0,1,2020-01-06,2020-12-28
2,Environmental,1,3,3,2020-04-06,2021-09-27
3,Governance,4,16,13,2021-01-04,2024-12-23
