window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score,correlation,binary_auc_score,three_class_f1_score
1,2020-01-06,2020-12-28,8,Social,1,0.4347161126462507,0.10267141163705751,0.17039683423018698,0.5887096774193549,0.20460358056265984
1,2020-01-06,2020-12-28,12,Social,2,0.19998353389575363,0.0,0.18419203203877005,0.6088709677419355,0.3408461210571185
1,2020-01-06,2020-12-28,24,Governance,3,0.1846653327875269,0.0,0.32393165002127017,0.6911290322580645,0.18226058539357773
1,2020-01-06,2020-12-28,15,Social,4,0.14585698318711454,0.0,0.13361178533775173,0.5741935483870968,0.2551990493166964
1,2020-01-06,2020-12-28,10,Social,5,0.1344938918345966,0.0,0.07637963425717267,0.5435483870967742,0.27225179143337713
1,2020-01-06,2020-12-28,19,Governance,6,0.09182454716503168,0.0,0.0205064850011854,0.5112903225806451,0.21288515406162462
2,2020-04-06,2021-03-29,24,Governance,1,0.5274655943396389,0.14811825386044286,0.38515961916419034,0.7323232323232323,0.2400547195622435
2,2020-04-06,2021-03-29,10,Social,2,0.3641766604682018,0.1501076255206395,0.0014838601505071714,0.5008417508417509,0.15920398009950248
2,2020-04-06,2021-03-29,12,Social,3,0.19004921425689708,0.0,0.07387138688961264,0.5446127946127945,0.4101231190150479
2,2020-04-06,2021-03-29,8,Social,4,0.16181119174091219,0.0363840909493538,0.07651647121824709,0.5412457912457913,0.1616161616161616
2,2020-04-06,2021-03-29,15,Social,5,0.12425881589295809,0.0,0.1479949806778231,0.5824915824915826,0.18903318903318903
2,2020-04-06,2021-03-29,19,Governance,6,0.07855260682585832,0.0,0.044895043195893554,0.5252525252525253,0.15920398009950248
3,2020-07-06,2021-06-28,19,Governance,1,0.40663302137907914,0.09833590113691337,0.12075566567682187,0.5678571428571428,0.16666666666666666
3,2020-07-06,2021-06-28,10,Social,2,0.29925374870744376,0.04375683802798358,0.14070515914911594,0.5839285714285714,0.29190563223461696
3,2020-07-06,2021-06-28,12,Social,3,0.19284600186969192,0.008788048647429214,0.06461012226688842,0.5401785714285714,0.35678978568171454
3,2020-07-06,2021-06-28,24,Governance,4,0.16866007406668995,0.0,0.10623092566967288,0.5660714285714286,0.32578203374373005
3,2020-07-06,2021-06-28,15,Social,5,0.1259624817579542,0.008202419460452415,0.08143872636629085,0.5491071428571428,0.18078324225865208
