rank,driver_number,pillar,mi_score,auc_score,rf_importance,composite_score
1,12,Social,0.05068384603092942,0.5124583034740399,0.2015335301818883,0.5904843988490363
2,13,Social,0.023185271466404405,0.531406305755869,0.16734286819387795,0.28939691135507667
3,25,Governance,0.01260408242731,0.5605447951261926,0.1434850164921298,0.18992692902495342
4,3,Environmental,0.04175643504271768,0.5672353644895026,0.11177202331478223,0.5292055543556684
5,22,Governance,0.017233391617497668,0.5775245183940559,0.08913068474971032,0.2557413525783855
6,4,Environmental,0.05232461435852098,0.5320824398757259,0.07603353531438777,0.6240155408448371
