regime_id,pillar,window_start,window_end,duration_windows,period_start,period_end
1,Environmental,0,9,10,2020-01-06,2023-03-27
2,Social,10,13,4,2022-07-04,2024-03-25
3,Environmental,14,16,3,2023-07-03,2024-12-23
