rank,driver_number,pillar,mi_score,auc_score,rf_importance,composite_score
1,12,Social,0.010263169846761455,0.6048331834648512,0.14361014084536552,0.135720498395818
2,10,Social,0.04831783751215165,0.5832564018469564,0.11997105526852536,0.3312419496757207
3,8,Social,0.04667148100417173,0.5810418472446726,0.11355920808396829,0.32042209629858004
4,15,Social,0.014929549333447737,0.5417649071085715,0.10536559084113131,0.11437908629733531
5,19,Governance,0.05475174950999132,0.5365016401438498,0.09231200709342245,0.3319687319530725
6,24,Governance,0.04343005845630247,0.5968422200237508,0.09228471904317855,0.31423983788676996
