regime_id,pillar,window_start,window_end,duration_windows,period_start,period_end
1,Social,0,0,1,2020-01-06,2020-12-28
2,Governance,1,6,6,2020-04-06,2022-06-27
3,Social,7,16,10,2021-10-04,2024-12-23
