window_id,period_start,period_end,driver_number,pillar,rank,combined_score,mi_score
1,2020-01-06,2020-12-28,25,Governance,1,0.5604883963583774,0.11582933812816543
1,2020-01-06,2020-12-28,4,Environmental,2,0.2588895270814591,0.048295447886662624
1,2020-01-06,2020-12-28,22,Governance,3,0.21367491881843675,0.0
1,2020-01-06,2020-12-28,12,Social,4,0.19810809297965817,0.04860109507812305
1,2020-01-06,2020-12-28,13,Social,5,0.12415869625598405,0.0
1,2020-01-06,2020-12-28,3,Environmental,6,0.05829918096346697,0.0
2,2020-04-06,2021-03-29,25,Governance,1,0.4507269363254377,0.27054640185285406
2,2020-04-06,2021-03-29,4,Environmental,2,0.4104560529192627,0.2949950253820879
2,2020-04-06,2021-03-29,12,Social,3,0.19794336987865901,0.1143817692930531
2,2020-04-06,2021-03-29,13,Social,4,0.19665154743545765,0.06233092423774633
2,2020-04-06,2021-03-29,3,Environmental,5,0.18654528717583935,0.12119190902752375
2,2020-04-06,2021-03-29,22,Governance,6,0.10930805299886406,0.0
3,2020-07-06,2021-06-28,25,Governance,1,0.5227933095225715,0.13105697945760952
3,2020-07-06,2021-06-28,13,Social,2,0.2060657070074733,0.017023541528250696
3,2020-07-06,2021-06-28,22,Governance,3,0.19725356083299736,0.030466879236294542
3,2020-07-06,2021-06-28,4,Environmental,4,0.16161302613510353,0.0
3,2020-07-06,2021-06-28,3,Environmental,5,0.12591134711563132,0.02657030888097367
3,2020-07-06,2021-06-28,12,Social,6,0.05607063429846661,0.0
4,2020-10-05,2021-09-27,12,Social,1,0.4036196710243286,0.047433221018243765
4,2020-10-05,2021-09-27,22,Governance,2,0.3881173667004125,0.04039543907834897
4,2020-10-05,2021-09-27,25,Governance,3,0.2156435338026212,0.0
4,2020-10-05,2021-09-27,4,Environmental,4,0.12532934320619527,0.0
4,2020-10-05,2021-09-27,13,Social,5,0.09500021406618384,0.0
4,2020-10-05,2021-09-27,3,Environmental,6,0.09332544600176274,0.0
5,2021-01-04,2021-12-27,4,Environmental,1,0.49096631060831436,0.07149043340863792
5,2021-01-04,2021-12-27,25,Governance,2,0.18879819667189934,0.0
5,2021-01-04,2021-12-27,13,Social,3,0.11871090083298746,0.0
5,2021-01-04,2021-12-27,12,Social,4,0.11108637932127904,0.0
5,2021-01-04,2021-12-27,3,Environmental,5,0.08878067655116456,0.0
5,2021-01-04,2021-12-27,22,Governance,6,0.06780177096035288,0.0
6,2021-04-05,2022-03-28,3,Environmental,1,0.463715458238168,0.14557749590400504
6,2021-04-05,2022-03-28,4,Environmental,2,0.24772835647663577,0.07064579073873545
6,2021-04-05,2022-03-28,12,Social,3,0.16010462956247845,0.047868187078779156
